origin_id,destination_id,entry_cost,network_co,exit_cost,distance
30,20,,,,
30,21,,,,
30,23,,,,
30,24,,,,
30,25,,,,
30,29,,,,
30,30,,,,
30,31,0.0000000,5247.4453805,0.0000000,5247.4453805
30,32,0.0000000,6823.6083706,0.0000000,6823.6083706
30,33,0.0000000,5542.3041126,0.0000000,5542.3041126
30,35,0.0000000,9580.4797713,0.0000000,9580.4797713
30,36,0.0000000,14159.8790402,0.0000000,14159.8790402
30,38,0.0000000,12376.8844623,39.2041514,12416.0886137
30,39,0.0000000,12906.4295010,0.0000000,12906.4295010
30,40,0.0000000,15461.1020761,0.0000000,15461.1020761
30,48,0.0000000,55638.4453756,0.0000000,55638.4453756
30,52,0.0000000,71122.6161635,0.0000000,71122.6161635
30,53,0.0000000,70688.2038937,0.0000000,70688.2038937
30,54,0.0000000,64203.3296772,0.0000000,64203.3296772
30,57,0.0000000,58362.2580691,0.0000000,58362.2580691
30,58,0.0000000,56427.7397357,0.0000000,56427.7397357
30,60,0.0000000,45289.1588144,0.0000000,45289.1588144
30,61,0.0000000,41138.8502832,0.0000000,41138.8502832
30,62,0.0000000,42768.3837722,0.0000000,42768.3837722
30,63,0.0000000,37858.9604946,0.0000000,37858.9604946
30,64,0.0000000,33151.7018599,0.0000000,33151.7018599
30,66,0.0000000,34578.0345824,0.0000000,34578.0345824
30,67,0.0000000,29302.5067658,0.0000000,29302.5067658
30,68,0.0000000,21945.4158427,0.0000000,21945.4158427
30,69,0.0000000,22479.1037703,0.0000000,22479.1037703
30,77,,,,
30,82,,,,
30,83,,,,
30,84,,,,
30,85,,,,
30,86,,,,
30,87,,,,
30,88,,,,
30,89,,,,
30,90,,,,
31,0,,,,
31,17,,,,
31,18,,,,
31,20,,,,
31,21,,,,
31,23,,,,
31,24,,,,
31,25,,,,
31,29,,,,
31,30,,,,
31,31,,,,
31,32,0.0000000,2104.6109871,0.0000000,2104.6109871
31,33,0.0000000,2481.6582130,0.0000000,2481.6582130
31,35,0.0000000,6519.8338717,0.0000000,6519.8338717
31,36,0.0000000,11099.2331405,0.0000000,11099.2331405
31,38,0.0000000,9316.2385627,39.2041514,9355.4427140
31,39,0.0000000,9845.7836013,0.0000000,9845.7836013
